MagicItemLevel,MagicItemChance,LootGroup,Count,NpcTemplates,STR,BaseStrmod,CustomHitsLevel,HealthPoints,DEX,BaseDexmod,TotalDex,Mobs Reorganizzed
10,99,151,1,nyxseductress,110,3050,6000000,6003160,200,250,450,
10,99,151,1,rikktor,110,3050,6000000,6003160,200,250,450,
9,99,150,1,barracoon,110,2050,6000000,6002160,200,250,450,
9,99,150,1,erebuschaosgod,110,2050,3000000,3002160,200,250,450,
9,90,106,1,worldtree,2000,2050,2500000,2504050,200,200,400,
9,99,106,1,titanwarmaster,4000,2050,2000000,2006050,150,0,150,
9,90,106,1,chiefparoxysmus,2000,2050,2000000,2004050,200,200,400,
9,99,106,1,hulk,500,2000,2000000,2002500,200,250,450,
9,90,106,1,kraken,1000,1300,2000000,2002300,300,50,350,
9,90,106,1,wizardfrog,500,1000,1600000,1601500,100,50,150,
9,99,106,1,scourgecommander,6000,2050,1500000,1508050,650,200,850,
9,99,106,1,scourgegladiator,6000,2050,1500000,1508050,400,200,600,
9,80,106,1,pestilence,4800,1300,1500000,1506100,950,150,1100,
9,95,106,1,vrykollakas,2100,2050,1500000,1504150,200,200,400,
9,90,106,1,dreadhorn,2000,2050,1500000,1504050,200,200,400,
9,90,106,1,ladymelisande,2000,2050,1500000,1504050,250,200,450,
9,90,106,1,monstrousgrizzle,2000,2050,1500000,1504050,200,200,400,
9,90,106,1,tiamat,2000,2050,1500000,1504050,350,0,350,
9,99,106,1,loke,2000,2050,1500000,1504050,200,200,400,
9,90,106,1,buran,3000,300,1500000,1503300,120,700,820,
9,90,106,1,hyperion,3000,300,1500000,1503300,120,700,820,
9,90,106,1,remorhaz,3000,300,1500000,1503300,120,700,820,
9,99,106,1,scourgewyrm,200,3000,1500000,1503200,200,550,750,
9,95,106,1,dragonking,1000,2050,1500000,1503050,200,250,450,
9,90,106,1,spiderlord,150,2800,1500000,1502950,200,10,210,
9,85,106,1,balrongeneral,1300,1500,1500000,1502800,100,50,150,
9,90,106,1,darkfather,500,2050,1500000,1502550,200,200,400,
9,80,106,1,glutton,280,2050,1500000,1502330,220,500,720,
9,80,106,1,legendaryhunter,1000,1300,1500000,1502300,400,150,550,
9,99,106,1,thor,200,2050,1500000,1502250,250,200,450,
9,80,106,1,summonboss,400,1000,1500000,1501400,100,50,150,
9,80,106,1,ancientwyrm,200,1050,1500000,1501250,200,250,450,
9,85,106,1,dragonqueen,200,1000,1500000,1501200,140,500,640,
9,80,105,1,dragonlord,200,2000,1100000,1102200,140,500,640,
9,99,106,1,scourgeterminator,6000,400,1000000,1006400,3000,590,3590,
9,99,106,1,scourgebattlemaster,5400,400,1000000,1005800,650,400,1050,
9,99,106,1,plague,4400,400,1000000,1004800,1450,400,1850,
9,90,106,1,blueslaad,2000,2050,1000000,1004050,50,0,50,
9,99,106,1,scourgeinfiltrator,3400,400,1000000,1003800,3400,400,3800,
9,99,106,1,archangel,2000,400,1000000,1002400,250,400,650,
9,99,106,1,nemesis,2000,400,1000000,1002400,250,400,650,
8,80,105,1,stomp,250,2050,1000000,1002300,225,250,475,
9,80,105,1,behemoth,220,2050,1000000,1002270,200,200,400,
9,80,105,1,evilpumpkin,220,2050,1000000,1002270,200,200,400,
9,80,105,1,hunchback,250,2000,1000000,1002250,255,550,805,
9,80,105,1,waterdragon,1000,2050,900000,903050,200,250,450,
9,80,105,1,waterdaemonlord,1000,2000,900000,903000,200,300,500,
9,80,105,1,solenhivemind,195,1000,900000,901195,150,350,500,
8,80,105,1,orcbrute,400,2050,800000,802450,225,250,475,
9,85,105,1,fallenangel,375,1100,800000,801475,175,200,375,
9,80,105,1,succubus,400,1000,800000,801400,200,500,700,
9,80,105,1,corruptangel,275,1100,800000,801375,175,200,375,
9,70,109,1,evilairshrine,100,1000,800000,801100,100,50,150,
9,70,109,1,evilfireshrine,100,1000,800000,801100,100,50,150,
9,70,109,1,evilshadowshrine,100,1000,800000,801100,100,50,150,
9,70,109,1,evilwatershrine,100,1000,800000,801100,100,50,150,
9,80,105,1,finntroll,400,2050,750000,752450,300,200,500,
8,80,105,1,rhinocerosbeetle,400,2050,700000,702450,225,250,475,
9,80,105,1,shadowknight,200,2050,700000,702250,200,200,400,
9,80,105,1,banehorn,250,1350,700000,701600,200,350,550,
9,90,105,1,frostbalron,200,1200,700000,701400,200,150,350,
9,80,105,1,balrog,275,1100,700000,701375,275,200,475,
9,90,105,1,blama,275,1100,700000,701375,275,200,475,
9,90,105,1,hornedrat,275,1100,700000,701375,275,200,475,
9,95,105,1,goldendragon,280,1050,700000,701330,225,250,475,
9,80,105,1,termuligin,250,1000,700000,701250,60,350,410,
9,80,105,1,wraithlord,250,1000,700000,701250,60,350,410,
8,80,105,1,terramental,195,1000,700000,701195,150,350,500,
9,80,105,1,terathaneldermatriarch,195,1000,700000,701195,150,350,500,
8,80,105,1,flamingbalron,110,1000,700000,701110,110,50,160,
9,80,105,1,balron,100,1000,700000,701100,100,50,150,
9,90,105,1,arcanedaemon,100,1000,700000,701100,100,50,150,
9,80,105,1,solendestroyer,500,2050,650000,652550,200,200,400,
9,80,105,1,terathanbroodlord,500,2050,650000,652550,200,200,400,
9,80,105,1,hydra,1000,2000,600000,603000,200,300,500,
9,80,105,1,triwolf,200,2550,600000,602750,250,200,450,
9,80,105,1,stamp,250,2000,600000,602250,255,550,805,
9,80,105,1,quagmire,200,1550,600000,601750,250,200,450,
9,80,105,1,vortexbeast,200,1050,600000,601250,200,300,500,
9,80,105,1,abysmalhorror,100,400,600000,600500,100,50,150,
9,80,105,1,darknightcreeper,100,400,600000,600500,100,50,150,
9,80,105,1,chimera,400,2050,550000,552450,200,200,400,
9,80,105,1,moundofmaggots,400,2050,550000,552450,200,200,400,
9,80,105,1,ravager,500,2050,500000,502550,200,200,400,
9,70,109,1,evilearthshrine,200,2050,500000,502250,200,200,400,
9,80,105,1,greaterbonedaemon,200,2050,500000,502250,200,200,400,
9,80,105,1,nagaqueen,200,2050,500000,502250,200,200,400,
9,85,105,1,kappa,400,1000,500000,501400,100,50,150,
9,90,105,1,silverdragon,300,1050,500000,501350,230,250,480,
9,80,105,1,fleshrenderer,200,1050,500000,501250,200,250,450,
9,70,109,1,evilpoisonshrine,100,1000,500000,501100,100,50,150,
9,90,105,1,greatearthwyrm,200,900,500000,501100,200,350,550,
9,90,105,1,greatwyrm,200,900,500000,501100,200,350,550,
9,90,105,1,darklancer,900,700,400000,401600,400,50,450,
8,80,107,1,magmalord,195,1000,400000,401195,150,350,500,
8,80,107,1,dementor,100,700,400000,400800,150,200,350,
8,80,107,1,omegatroll,400,1550,350000,351950,300,200,500,
8,80,107,1,lesserchimera,400,1350,350000,351750,200,200,400,
8,80,107,1,tarantula,300,1250,350000,351550,400,200,600,
9,80,105,1,quagmires,200,1550,300000,301750,250,200,450,
9,80,105,1,triwolfs,400,1050,300000,301450,250,200,450,
8,80,107,1,lesserfleshrenderer,200,650,300000,300850,200,250,450,
4,35,125,1,dryad,125,100,13000,13225,175,10,185,
3,25,125,1,fairy,200,200,10000,10400,175,10,185,
4,25,125,1,pixie,125,100,10000,10225,175,10,185,
7,85,104,1,wandererofthevoid,300,1350,0,1650,150,100,250,
7,50,103,1,undeadflayer,300,1000,0,1300,90,250,340,
5,50,104,1,goldenwisp,200,1000,0,1200,200,350,550,
5,65,22,1,shadowelemental,170,1000,0,1170,70,50,120,
5,50,37,1,sanddragon,300,800,0,1100,240,800,1040,
6,75,37,1,poisondragon,300,800,0,1100,140,200,340,
5,65,103,1,dracoliche,300,750,0,1050,140,10,150,
5,95,103,1,undeadfrenziedostard,500,550,0,1050,140,10,150,
5,65,37,1,cavedragon,300,700,0,1000,150,10,160,
5,80,102,1,tempest,200,800,0,1000,200,300,500,
5,80,102,1,infernalwisp,175,800,0,975,175,400,575,
5,60,102,1,blackorcwarboss,500,450,0,950,180,150,330,
5,80,60,1,runebeetle,400,550,0,950,120,150,270,
5,95,103,1,undeadostard,400,550,0,950,140,10,150,
6,55,103,1,blackwisp,450,500,0,950,175,400,575,
6,55,103,1,solenarchmage,450,500,0,950,175,400,575,
6,55,103,1,terathanvoidmage,450,500,0,950,175,400,575,
7,85,104,1,umbralflicker,100,850,0,950,150,100,250,
4,45,23,1,darkbard,400,500,0,900,100,700,800,
5,80,103,1,yomotsuelder,350,550,0,900,150,100,250,
5,95,37,1,celestialdragon,100,750,0,850,140,10,150,
6,50,35,1,ebonyhorror,300,550,0,850,250,350,600,
5,40,132,1,darkrider,200,600,0,800,100,300,400,
5,45,37,1,frostdragon,100,700,0,800,50,10,60,
5,50,102,1,yomotsupriest,250,550,0,800,150,100,250,
5,65,37,1,rockdragon,100,700,0,800,50,10,60,
5,95,35,1,abyssalliche,250,550,0,800,250,150,400,
